run	success	duration	cost	LI__ICGIM_Vmax	LI__ICGIM_Km	LI__ICGLI2CA_Vmax	LI__ICGLI2CA_Km	LI__ICGLI2BI_Vmax	message	x	x0
41	True	12.041535377502441	25.416883370451387	0.022494793169556413	0.013927851655482772	0.0009575156502069507	0.01184840511920369	0.0001144654580576612	`xtol` termination condition is satisfied.	[0.02249479 0.01392785 0.00095752 0.01184841 0.00011447]	[0.03183981 0.00164682 0.00026072 0.00067256 0.00014521]
62	True	14.792887449264526	25.4598904613186	0.022013304376603825	0.013606320384575758	0.0008105737921050099	0.005241706437531274	0.00011400405980792038	`xtol` termination condition is satisfied.	[0.0220133  0.01360632 0.00081057 0.00524171 0.000114  ]	"[9.27442669e-03 4.61438882e-04 2.71066428e+00 8.01581470e-02
 1.64874475e-05]"
125	True	8.857600927352905	25.534681280533977	0.020489174339099293	0.012614961198055675	0.0012575313436000797	0.028499144865499367	0.00011616432223760194	`xtol` termination condition is satisfied.	[0.02048917 0.01261496 0.00125753 0.02849914 0.00011616]	"[8.50911987e-02 9.09929947e-04 1.37210822e-03 1.27758746e-02
 3.51006110e-05]"
144	True	13.966679334640503	25.556542685109555	0.0222950566046483	0.01379101285451705	0.0012427914468848141	0.0274918034871443	0.00011582310202154481	`xtol` termination condition is satisfied.	[0.02229506 0.01379101 0.00124279 0.0274918  0.00011582]	"[2.51290328e-04 4.75952830e-03 2.17027252e-02 1.36511533e+00
 2.32298792e-05]"
68	True	8.869228601455688	25.55815101948563	0.02206722479364695	0.01365717263592015	0.0012506444823355955	0.027964045936682138	0.0001158689814277253	`xtol` termination condition is satisfied.	[0.02206722 0.01365717 0.00125064 0.02796405 0.00011587]	"[3.79555177e-01 1.19599273e-04 1.37407400e-03 1.19065483e-02
 1.12436771e-04]"
187	True	14.212232828140259	25.563222653975462	0.022489826674895567	0.01393917976802527	0.0012452558549057734	0.027657498438579217	0.00011584441585860765	`xtol` termination condition is satisfied.	[0.02248983 0.01393918 0.00124526 0.0276575  0.00011584]	[0.00075946 0.0005788  0.00170625 0.03021063 0.00082402]
190	True	10.917746782302856	25.568151374283705	0.022510896236035978	0.013953137999307594	0.001250445960997909	0.02794726023360367	0.00011584990339995454	`xtol` termination condition is satisfied.	[0.0225109  0.01395314 0.00125045 0.02794726 0.00011585]	"[9.76499901e-05 1.74145105e-03 6.82847982e-04 5.04695465e-03
 2.80619539e-03]"
169	True	14.35307502746582	25.578794772435376	0.023231247229511837	0.014412323128863513	0.0012416277788456494	0.027463775627756832	0.00011582665385073367	`xtol` termination condition is satisfied.	[0.02323125 0.01441232 0.00124163 0.02746378 0.00011583]	"[3.87695651e-03 9.30913287e-04 9.78913043e-01 1.60795924e-03
 1.51892958e-02]"
19	True	13.293451070785522	25.626550799852648	0.024898927278811347	0.015506931720361173	0.0012477013760878628	0.027969974374430863	0.0001160525009874636	`xtol` termination condition is satisfied.	[0.02489893 0.01550693 0.0012477  0.02796997 0.00011605]	"[1.43449365e-05 5.15878917e-02 6.61559582e-03 2.74654698e+02
 2.25142186e-04]"
138	True	9.373422145843506	25.643885715026304	0.02581652061637633	0.016103206091764723	0.0012342588951921706	0.02699378385612372	0.0001156928379275291	`xtol` termination condition is satisfied.	[0.02581652 0.01610321 0.00123426 0.02699378 0.00011569]	"[2.08324922e+00 1.18612398e-03 1.11561749e-02 5.23280475e-02
 7.36720573e-05]"
156	True	9.282011985778809	25.71197486125551	0.02794330618434574	0.01749733895238408	0.0012407898638937135	0.028031268604350432	0.00011643490765001158	`xtol` termination condition is satisfied.	[0.02794331 0.01749734 0.00124079 0.02803127 0.00011643]	[0.28472461 0.00556086 0.00618302 0.07580455 0.00047592]
107	True	11.00137734413147	25.718617106540822	0.0285762533498949	0.017904701854777615	0.0012217918687712167	0.026492048359837938	0.00011570810326710798	`xtol` termination condition is satisfied.	[0.02857625 0.0179047  0.00122179 0.02649205 0.00011571]	"[3.97762453e-03 6.70633634e-02 3.85535840e+00 4.69197016e-02
 1.50301528e-04]"
122	True	11.280450344085693	25.734405403209102	0.02941376543273562	0.018452535615704056	0.0012097847738497113	0.026379998602448548	0.00011645562907581317	`xtol` termination condition is satisfied.	[0.02941377 0.01845254 0.00120978 0.02638    0.00011646]	"[4.94739348e+00 1.43957653e-03 1.50495984e-02 7.27096223e-04
 1.10646156e-05]"
131	True	23.887128114700317	25.744717596019818	0.02981552215550458	0.018701798787768852	0.0012073488086312616	0.025781748866670083	0.00011589315270340008	`xtol` termination condition is satisfied.	[0.02981552 0.0187018  0.00120735 0.02578175 0.00011589]	"[9.05007869e+01 3.09133765e-03 7.38985873e-04 2.13785234e-03
 1.80279823e-04]"
183	True	14.047194242477417	25.770059323704558	0.030461203771649868	0.019128999346405835	0.0012164095464108795	0.02626585995355795	0.0001158834161731804	`xtol` termination condition is satisfied.	[0.0304612  0.019129   0.00121641 0.02626586 0.00011588]	"[2.82542415e+00 5.25726399e-03 5.37319820e-03 7.89491721e-04
 3.36928583e-04]"
104	True	8.206032752990723	25.803641611151708	0.03669448146158228	0.02320690792083033	0.0008566508647573808	0.007879701367316857	0.00011393709034909457	`xtol` termination condition is satisfied.	[0.03669448 0.02320691 0.00085665 0.0078797  0.00011394]	[0.02898478 0.02453738 0.0028843  0.00037858 0.00065976]
